frame,tipo,outro
1253,collision,static.static
1254,collision,static.static
1255,collision,static.static
1256,collision,static.static
1257,collision,static.static
1258,collision,static.static
1259,collision,static.static
1260,collision,static.static
1261,collision,static.static
1262,collision,static.static
1263,collision,static.static
1264,collision,static.static
1265,collision,static.static
1266,collision,static.static
1267,collision,static.static
1268,collision,static.static
1269,collision,static.static
1270,collision,static.static
1271,collision,static.static
1272,collision,static.static
1273,collision,static.static
1274,collision,static.static
1275,collision,static.static
1276,collision,static.static
1277,collision,static.static
1278,collision,static.static
1279,collision,static.static
1280,collision,static.static
1281,collision,static.static
1282,collision,static.static
1283,collision,static.static
1284,collision,static.static
1285,collision,static.static
1286,collision,static.static
1287,collision,static.static
1288,collision,static.static
1289,collision,static.static
1290,collision,static.static
1291,collision,static.static
1292,collision,static.static
1293,collision,static.static
1294,collision,static.static
1295,collision,static.static
1296,collision,static.static
1297,collision,static.static
1298,collision,static.static
1299,collision,static.static
1300,collision,static.static
1301,collision,static.static
1302,collision,static.static
1303,collision,static.static
1304,collision,static.static
1305,collision,static.static
1306,collision,static.static
1307,collision,static.static
1308,collision,static.static
1309,collision,static.static
1310,collision,static.static
1311,collision,static.static
1312,collision,static.static
1313,collision,static.static
1314,collision,static.static
1315,collision,static.static
1316,collision,static.static
1317,collision,static.static
1318,collision,static.static
1319,collision,static.static
